Height,Age,Income,RomanticGestureScore,CompatibilityScore,CommunicationScore,DistanceKM,Response,AgeCategory
157,23,9813,10,4,10,81,1,Young
141,80,9543,0,9,3,14,1,Senior
143,56,43513,4,2,2,55,0,Middle-aged
184,18,26317,2,6,9,47,0,Young
151,31,6757,7,0,8,81,1,Young
151,19,18954,9,0,4,21,0,Young
166,66,19013,7,4,3,3,1,Senior
154,55,46007,7,3,2,41,1,Middle-aged
163,58,39673,3,8,1,84,1,Middle-aged
190,19,49724,2,10,8,94,1,Young
178,54,20183,0,8,7,61,1,Middle-aged
199,53,16585,10,8,4,21,1,Middle-aged
161,42,22169,2,6,10,14,1,Middle-aged
170,81,20705,10,7,2,87,1,Senior
163,82,31142,4,1,2,75,0,Senior
150,59,27235,10,10,3,38,1,Middle-aged
157,80,40619,7,6,9,18,1,Senior
148,26,24101,8,9,8,52,1,Young
157,48,24578,10,5,7,59,1,Middle-aged
168,22,8280,3,2,3,25,1,Young
191,56,32222,6,8,9,55,1,Middle-aged
189,74,12359,4,4,4,47,0,Senior
176,84,23648,2,6,5,98,1,Senior
163,70,13093,2,4,10,7,0,Senior
145,69,18338,3,0,9,80,1,Senior
145,89,23625,5,0,0,81,0,Senior
180,67,46782,6,3,4,76,1,Senior
140,40,28740,6,1,6,15,1,Middle-aged
152,48,8135,3,8,5,87,1,Middle-aged
187,84,40221,6,5,3,34,1,Senior
163,57,25093,2,3,1,24,1,Middle-aged
146,79,12328,7,2,3,40,0,Senior
187,33,24558,5,9,3,93,1,Young
169,19,6229,6,2,2,37,1,Young
141,44,45424,6,6,2,5,1,Middle-aged
186,67,42623,4,10,8,94,1,Senior
173,71,19273,4,8,10,29,1,Senior
200,47,27684,1,6,5,41,1,Middle-aged
146,56,9502,5,0,5,81,0,Middle-aged
174,35,24608,5,9,1,5,1,Young
190,54,10719,9,4,1,68,1,Middle-aged
141,63,28426,5,5,6,16,1,Senior
145,33,38265,3,1,0,42,0,Young
191,45,14421,4,1,1,95,0,Middle-aged
141,65,12160,7,0,1,69,1,Senior
159,66,26916,1,1,4,66,0,Senior
159,68,40516,5,5,5,22,1,Senior
197,67,16155,8,5,10,99,1,Senior
155,72,38647,4,7,2,10,1,Senior
158,52,25771,5,3,9,69,0,Middle-aged
153,65,19710,4,1,2,99,1,Senior
174,33,48756,2,9,9,65,1,Young
168,42,44329,5,0,2,20,1,Middle-aged
147,61,32221,3,9,3,17,1,Senior
174,27,22222,1,5,3,96,0,Young
143,23,32271,3,7,0,23,0,Young
150,81,19824,1,10,7,28,1,Senior
149,80,19821,0,5,9,70,1,Senior
155,43,18553,8,8,8,74,1,Middle-aged
184,61,13979,1,1,9,5,1,Senior
179,53,30348,1,6,2,46,0,Middle-aged
194,42,32166,0,8,10,17,1,Middle-aged
187,84,26852,4,0,5,38,1,Senior
144,84,43367,5,6,9,6,0,Senior
154,41,19484,0,2,10,86,1,Middle-aged
160,52,21061,4,4,2,52,1,Middle-aged
174,43,46104,6,4,4,83,1,Middle-aged
159,67,21330,4,10,8,87,1,Senior
186,20,41925,1,5,0,98,1,Young
188,83,11205,4,10,1,79,1,Senior
